# Beta Pictoris, Visit 01 
# Analysis by Kevin Stevenson, 2017-06-19 
#          BJD             Flux        Error
2457745.210181 313057272.222488 17722.759492
2457745.213630 313471059.400847 17734.978090
2457745.217079 313106172.843158 17727.598075
2457745.220528 314538431.271224 17770.306979
2457745.262878 312941321.303891 17718.997600
2457745.266327 313733498.050459 17742.012416
2457745.269776 313353888.364623 17730.751508
2457745.273225 314112445.910698 17754.948183
2457745.276674 313312277.661480 17729.840994
2457745.280123 313809525.077400 17744.912020
2457745.283572 313076068.176079 17723.779990
2457745.333063 314252070.995820 17757.514272
2457745.336512 313806294.820714 17742.816482
2457745.339961 313690834.762705 17743.832143
2457745.343410 312513538.980415 17710.147566
2457745.346859 313533157.785704 17743.495518
2457745.350308 313737419.558657 17743.331671
2457745.402611 313560654.624592 17734.131847
2457745.406060 313257658.114383 17725.857751
2457745.409510 314060216.130388 17747.468783
