# Beta Pictoris, Visit 07 
# Analysis by Kevin Stevenson, 2017-12-05 
#          BJD             Flux        Error  ScanDir
2458091.571943 314053309.141379 17749.351969 0.000000
2458091.575392 313739478.143733 17741.205168 1.000000
2458091.578841 313116303.244136 17726.122946 0.000000
2458091.582290 313999440.714096 17748.613290 1.000000
2458091.585739 314006292.528510 17749.277374 0.000000
2458091.589188 314981453.232331 17775.702095 1.000000
2458091.592637 314041378.741509 17746.906410 0.000000
2458091.596087 313572086.849929 17735.689316 1.000000
2458091.599535 312808312.287956 17714.245724 0.000000
2458091.602985 313904835.884491 17745.674116 1.000000
