# Beta Pictoris, Visit 01 
# Analysis by Kevin Stevenson, 2017-06-19 
#          BJD             Flux        Error
57745.210181 313057272.222488 17722.759492
57745.213630 313471059.400847 17734.978090
57745.217079 313106172.843158 17727.598075
57745.220528 314538431.271224 17770.306979
57745.262878 312941321.303891 17718.997600
57745.266327 313733498.050459 17742.012416
57745.269776 313353888.364623 17730.751508
57745.273225 314112445.910698 17754.948183
57745.276674 313312277.661480 17729.840994
57745.280123 313809525.077400 17744.912020
57745.283572 313076068.176079 17723.779990
57745.333063 314252070.995820 17757.514272
57745.336512 313806294.820714 17742.816482
57745.339961 313690834.762705 17743.832143
57745.343410 312513538.980415 17710.147566
57745.346859 313533157.785704 17743.495518
57745.350308 313737419.558657 17743.331671
57745.402611 313560654.624592 17734.131847
57745.406060 313257658.114383 17725.857751
57745.409510 314060216.130388 17747.468783
# Beta Pictoris, Visit 02 
# Analysis by Kevin Stevenson, 2017-06-19 
#          BJD             Flux        Error
57800.559985 313635035.500878 17739.376298
57800.563435 314151438.420695 17753.129365
57800.566884 313424643.526817 17733.097922
57800.570333 314220120.510275 17753.438621
57800.573782 313860171.706715 17743.361563
57800.577231 313818058.623919 17746.411613
57800.580680 313782429.593779 17741.722536
57800.584129 314165081.845325 17751.482149
57800.587578 313671871.070254 17737.501907
57800.591027 314552519.407000 17763.717583
57800.624534 313847658.305331 17743.660232
57800.627983 314659356.635332 17765.113177
57800.631432 313780152.272823 17740.788307
57800.634881 313822772.677233 17741.121273
57800.638331 313363810.150234 17729.318383
57800.641779 313850213.776278 17743.944842
57800.645229 313972714.044581 17746.092996
57800.648678 314883744.445047 17771.142879
57800.652127 313941792.785046 17745.164795
57800.655576 314079002.464881 17748.834664
# Beta Pictoris, Visit 03 
# Analysis by Kevin Stevenson, 2017-06-17 
#          BJD             Flux        Error
57921.429827 313661102.914672 17735.399380
57921.433277 314217673.812660 17751.960620
57921.436726 313491420.061659 17732.112176
57921.440175 313405392.104440 17730.353733
57921.443624 312748932.652650 17713.583386
57921.447073 313814433.804025 17742.508151
57921.450522 313824386.099476 17743.166312
57921.453971 314095938.511541 17752.335259
57921.457420 313532135.223090 17733.499737
57921.460869 313472713.481270 17732.901836
57921.485615 313381000.604340 17729.959621
57921.489064 313879360.724104 17742.343177
57921.492513 313492546.968253 17733.726381
57921.495962 313629456.735220 17736.133868
57921.499411 313169104.025766 17723.694463
57921.502860 313805438.993601 17741.944740
57921.506309 313657631.637773 17737.580181
57921.509758 314187752.778174 17752.951205
57921.513207 313264045.931440 17728.493236
57921.516656 313128709.385982 17724.585430
# Beta Pictoris, Visit 04 
# Analysis by Kevin Stevenson, 2017-08-02 
#          BJD             Flux        Error
57967.983928 313415599.872733 17732.917031
57967.987377 314010097.793219 17748.077098
57967.990827 313057004.948949 17722.385831
57967.994275 314088940.305224 17751.294483
57967.997725 313815380.346319 17742.033031
57968.001174 314432295.498020 17761.246506
57968.004623 313629549.379700 17739.655941
57968.008072 314191119.274145 17755.351555
57968.011521 313314096.074898 17728.215628
57968.014970 314033267.944882 17748.829054
57968.047771 313701879.461401 17738.856072
57968.051220 314180655.854530 17750.830007
57968.054669 313415761.379631 17731.175559
57968.058118 313969849.408640 17746.705433
57968.061567 313143319.616444 17722.669255
57968.065016 313926186.439713 17744.203910
57968.068465 313670181.149929 17737.020764
57968.071914 314223546.746935 17752.123954
57968.075363 313611204.420741 17736.641554
57968.078813 314169220.966956 17751.737035
# Beta Pictoris, Visit 05 
# Analysis by Kevin Stevenson, 2017-10-08 
#          BJD             Flux        Error
579028.181944 313647983.022940 17736.399392
579028.185393 313844109.912152 17741.622357
579028.188842 313448335.226591 17730.340224
579028.192291 313921453.181366 17742.163083
579028.195740 313573413.584973 17733.420751
579028.199189 313973026.345317 17745.034868
579028.202638 313684970.496627 17738.240866
579028.206087 314029882.781302 17748.158354
579028.209536 313638242.999465 17735.557046
579028.212986 314183124.977715 17754.995085
# Beta Pictoris, Visit 06 
# Analysis by Kevin Stevenson, 2017-10-11 
#          BJD             Flux        Error
579035.337133 313165382.043663 17722.045015
579035.340582 314044426.104397 17747.019246
579035.344031 314115138.239707 17748.889695
579035.347480 314103174.932923 17748.317553
579035.350929 313075357.299522 17721.339996
579035.354378 313017153.249575 17724.268406
579035.357827 309742720.388151 17639.676222
579035.361276 314786984.260008 17780.429980
579035.364725 312190310.309353 17709.251186
579035.368174 314287468.955565 17762.237051
# Beta Pictoris, Visit 07 
# Analysis by Kevin Stevenson, 2017-12-05 
#          BJD             Flux        Error  
579091.571943 314053309.141379 17749.351969 
579091.575392 313739478.143733 17741.205168 
579091.578841 313116303.244136 17726.122946 
579091.582290 313999440.714096 17748.613290 
579091.585739 314006292.528510 17749.277374 
579091.589188 314981453.232331 17775.702095 
579091.592637 314041378.741509 17746.906410
579091.596087 313572086.849929 17735.689316
579091.599535 312808312.287956 17714.245724
579091.602985 313904835.884491 17745.674116 







